M = 2_train,M=2_test,M =  5_train,M=5_test,M = 10_train,M = 10_test,M=200_train,M=200_test
0.073469107,0.070319894,0.071596998,0.047391812,0.070983955,0.042056461,0.064388284,0.034978982
0.055010394,0.053375925,0.040923393,0.037602207,0.035322068,0.030845522,0.028030197,0.022931819
0.052798175,0.051015926,0.036103279,0.035058805,0.02825051,0.026500789,0.019897503,0.017241576
0.051066082,0.049347408,0.034160137,0.033589933,0.025523476,0.024722117,0.015683524,0.014515748
0.049787488,0.048222347,0.032932151,0.032638303,0.024200954,0.023751101,0.01348165,0.012587761
0.048932201,0.047429832,0.032123481,0.031919947,0.023318577,0.022975381,0.011934743,0.011309363
0.048364811,0.046799067,0.031490237,0.031395569,0.022650421,0.022514808,0.010754074,0.010250626
0.047928612,0.046316574,0.031004457,0.03097796,0.022147425,0.021906884,0.009860466,0.009618781
0.047583627,0.045865015,0.030584406,0.030579191,0.021723478,0.021627747,0.009141195,0.008721752
0.047234653,0.045486786,0.030236266,0.030328721,0.021370149,0.021295616,0.008428977,0.008176926
0.046964772,0.045153776,0.02995074,0.030032965,0.021058211,0.0210282,0.007866728,0.007629544
0.046697295,0.044835229,0.029714538,0.029834956,0.020781619,0.020736107,0.00737479,0.007196669
0.046483076,0.044566604,0.029505023,0.029729043,0.020523802,0.020535677,0.006982445,0.006829477
0.046267185,0.044264718,0.029314837,0.029552709,0.020296098,0.020300402,0.006622169,0.006540189
0.046049013,0.044034619,0.029150879,0.029371553,0.020072083,0.020082918,0.006344362,0.006313587
0.045851882,0.043806518,0.028998447,0.029225956,0.019861961,0.019888596,0.006072516,0.006036314
0.045652812,0.043570403,0.028868498,0.029162831,0.019671651,0.01971048,0.005840779,0.005758857
0.045490466,0.043380936,0.028723407,0.029036102,0.019509462,0.019568213,0.005603643,0.005584434
0.045320236,0.043171561,0.028612524,0.028907356,0.019341328,0.019420647,0.005426851,0.005385971
0.045172078,0.04299616,0.028508473,0.028836728,0.019195945,0.019303373,0.005235148,0.005223665
